2025-12-28 16:45:54,702:INFO:RewardSystem reset.
2025-12-28 16:45:54,702:INFO:Connected to SpaceCadetPinball shared memory
2025-12-28 16:45:54,702:INFO:Connected to SpaceCadetPinball shared memory - using direct ball position!
2025-12-28 16:45:54,702:INFO:GameControl initialized
2025-12-28 16:45:54,705:INFO:PinballEnv initialized with observation shape (240, 320, 3)
2025-12-28 16:45:59,329:INFO:RewardSystem reset.
2025-12-28 16:46:01,128:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:01,146:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:46:01,163:INFO:BALL: (-7.0, 11.6) speed=0.3 score=0
2025-12-28 16:46:01,181:INFO:BALL: (-7.0, 11.6) speed=0.5 score=0
2025-12-28 16:46:01,201:INFO:BALL: (-7.0, 11.7) speed=0.7 score=0
2025-12-28 16:46:01,225:INFO:BALL: (-7.0, 11.7) speed=0.8 score=0
2025-12-28 16:46:01,243:INFO:BALL: (-7.0, 11.7) speed=0.5 score=0
2025-12-28 16:46:01,260:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:01,279:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:01,304:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:01,546:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:01,564:INFO:BALL: (-7.0, 11.7) speed=0.2 score=0
2025-12-28 16:46:01,582:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:01,601:INFO:BALL: (-7.0, 11.7) speed=2.2 score=0
2025-12-28 16:46:01,618:INFO:BALL: (-7.0, 11.6) speed=2.0 score=0
2025-12-28 16:46:01,636:INFO:BALL: (-7.0, 11.6) speed=1.8 score=0
2025-12-28 16:46:01,654:INFO:BALL: (-7.0, 11.6) speed=1.4 score=0
2025-12-28 16:46:01,673:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:01,691:INFO:BALL: (-7.0, 11.5) speed=1.0 score=0
2025-12-28 16:46:01,710:INFO:BALL: (-7.0, 11.5) speed=0.9 score=0
2025-12-28 16:46:01,727:INFO:BALL: (-7.0, 11.5) speed=0.7 score=0
2025-12-28 16:46:01,746:INFO:BALL: (-7.0, 11.5) speed=0.6 score=0
2025-12-28 16:46:01,764:INFO:BALL: (-7.0, 11.5) speed=0.3 score=0
2025-12-28 16:46:01,782:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:01,800:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:01,825:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:01,842:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:01,867:INFO:BALL: (-7.0, 11.5) speed=0.4 score=0
2025-12-28 16:46:01,885:INFO:BALL: (-7.0, 11.5) speed=0.6 score=0
2025-12-28 16:46:01,904:INFO:BALL: (-7.0, 11.5) speed=0.8 score=0
2025-12-28 16:46:01,921:INFO:BALL: (-7.0, 11.5) speed=1.0 score=0
2025-12-28 16:46:01,945:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:01,971:INFO:BALL: (-7.0, 11.6) speed=1.5 score=0
2025-12-28 16:46:01,989:INFO:BALL: (-7.0, 11.6) speed=1.7 score=0
2025-12-28 16:46:02,006:INFO:BALL: (-7.0, 11.6) speed=1.9 score=0
2025-12-28 16:46:02,024:INFO:BALL: (-7.0, 11.6) speed=2.1 score=0
2025-12-28 16:46:02,042:INFO:BALL: (-7.0, 11.6) speed=1.7 score=0
2025-12-28 16:46:02,060:INFO:BALL: (-7.0, 11.6) speed=1.7 score=0
2025-12-28 16:46:02,078:INFO:BALL: (-7.0, 11.5) speed=1.3 score=0
2025-12-28 16:46:02,097:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:02,117:INFO:BALL: (-7.0, 11.5) speed=1.0 score=0
2025-12-28 16:46:02,133:INFO:BALL: (-7.0, 11.5) speed=0.8 score=0
2025-12-28 16:46:02,152:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:02,170:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:02,188:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:02,206:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:02,224:INFO:BALL: (-7.0, 11.5) speed=0.0 score=0
2025-12-28 16:46:02,242:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:02,261:INFO:BALL: (-7.0, 11.5) speed=0.4 score=0
2025-12-28 16:46:02,279:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:02,297:INFO:BALL: (-7.0, 11.5) speed=0.7 score=0
2025-12-28 16:46:02,315:INFO:BALL: (-7.0, 11.5) speed=0.8 score=0
2025-12-28 16:46:02,334:INFO:BALL: (-7.0, 11.5) speed=1.0 score=0
2025-12-28 16:46:02,358:INFO:BALL: (-7.0, 11.6) speed=1.3 score=0
2025-12-28 16:46:02,376:INFO:BALL: (-7.0, 11.6) speed=1.5 score=0
2025-12-28 16:46:02,394:INFO:BALL: (-7.0, 11.6) speed=1.7 score=0
2025-12-28 16:46:02,412:INFO:BALL: (-7.0, 11.6) speed=1.9 score=0
2025-12-28 16:46:02,430:INFO:BALL: (-7.0, 11.7) speed=2.1 score=0
2025-12-28 16:46:02,449:INFO:BALL: (-7.0, 11.6) speed=2.1 score=0
2025-12-28 16:46:02,467:INFO:BALL: (-7.0, 11.6) speed=1.9 score=0
2025-12-28 16:46:02,485:INFO:BALL: (-7.0, 11.6) speed=1.6 score=0
2025-12-28 16:46:02,505:INFO:BALL: (-7.0, 11.5) speed=1.4 score=0
2025-12-28 16:46:02,527:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:02,552:INFO:BALL: (-7.0, 11.5) speed=0.8 score=0
2025-12-28 16:46:02,575:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:02,593:INFO:BALL: (-7.0, 11.5) speed=0.4 score=0
2025-12-28 16:46:02,613:INFO:BALL: (-7.0, 11.5) speed=0.3 score=0
2025-12-28 16:46:02,630:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:02,649:INFO:BALL: (-7.0, 11.5) speed=0.0 score=0
2025-12-28 16:46:02,667:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:02,684:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:02,703:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:02,722:INFO:BALL: (-7.0, 11.5) speed=0.6 score=0
2025-12-28 16:46:02,746:INFO:BALL: (-7.0, 11.5) speed=0.7 score=0
2025-12-28 16:46:02,763:INFO:BALL: (-7.0, 11.5) speed=0.9 score=0
2025-12-28 16:46:02,781:INFO:BALL: (-7.0, 11.5) speed=1.1 score=0
2025-12-28 16:46:02,800:INFO:BALL: (-7.0, 11.6) speed=1.4 score=0
2025-12-28 16:46:02,817:INFO:BALL: (-7.0, 11.6) speed=1.5 score=0
2025-12-28 16:46:02,836:INFO:BALL: (-7.0, 11.6) speed=1.7 score=0
2025-12-28 16:46:02,854:INFO:BALL: (-7.0, 11.6) speed=1.9 score=0
2025-12-28 16:46:02,873:INFO:BALL: (-7.0, 11.6) speed=1.1 score=0
2025-12-28 16:46:02,891:INFO:BALL: (-7.0, 11.6) speed=0.9 score=0
2025-12-28 16:46:02,909:INFO:BALL: (-7.0, 11.6) speed=0.7 score=0
2025-12-28 16:46:02,927:INFO:BALL: (-7.0, 11.6) speed=0.6 score=0
2025-12-28 16:46:02,946:INFO:BALL: (-7.0, 11.6) speed=0.4 score=0
2025-12-28 16:46:02,963:INFO:BALL: (-7.0, 11.6) speed=0.3 score=0
2025-12-28 16:46:02,981:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:03,000:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:03,018:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:46:03,037:INFO:BALL: (-7.0, 11.6) speed=0.3 score=0
2025-12-28 16:46:03,054:INFO:BALL: (-7.0, 11.6) speed=0.4 score=0
2025-12-28 16:46:03,072:INFO:BALL: (-7.0, 11.6) speed=0.6 score=0
2025-12-28 16:46:03,090:INFO:BALL: (-7.0, 11.6) speed=0.8 score=0
2025-12-28 16:46:03,108:INFO:BALL: (-7.0, 11.6) speed=0.8 score=0
2025-12-28 16:46:03,127:INFO:BALL: (-7.0, 11.7) speed=1.2 score=0
2025-12-28 16:46:03,145:INFO:BALL: (-7.0, 11.7) speed=0.7 score=0
2025-12-28 16:46:03,162:INFO:BALL: (-7.0, 11.7) speed=0.5 score=0
2025-12-28 16:46:03,181:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:03,200:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:46:03,218:INFO:BALL: (-7.0, 11.6) speed=0.0 score=0
2025-12-28 16:46:03,236:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:03,254:INFO:BALL: (-7.0, 11.7) speed=0.2 score=0
2025-12-28 16:46:03,273:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:03,290:INFO:BALL: (-7.0, 11.7) speed=0.5 score=0
2025-12-28 16:46:03,309:INFO:BALL: (-7.0, 11.7) speed=0.8 score=0
2025-12-28 16:46:03,326:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:03,396:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:03,424:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:03,450:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:03,475:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:03,497:INFO:BALL: (-7.0, 11.7) speed=0.0 score=0
2025-12-28 16:46:03,522:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:03,540:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:03,565:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:03,589:INFO:BALL: (-7.0, 11.7) speed=0.2 score=0
2025-12-28 16:46:03,613:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:03,638:INFO:BALL: (-7.0, 11.7) speed=1.1 score=0
2025-12-28 16:46:03,661:INFO:BALL: (-7.0, 11.6) speed=0.9 score=0
2025-12-28 16:46:03,679:INFO:BALL: (-7.0, 11.6) speed=0.6 score=0
2025-12-28 16:46:03,696:INFO:BALL: (-7.0, 11.6) speed=0.5 score=0
2025-12-28 16:46:03,714:INFO:BALL: (-7.0, 11.6) speed=0.4 score=0
2025-12-28 16:46:03,734:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:03,753:INFO:BALL: (-7.0, 11.6) speed=0.0 score=0
2025-12-28 16:46:03,776:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:03,794:INFO:BALL: (-7.0, 11.6) speed=0.4 score=0
2025-12-28 16:46:03,818:INFO:BALL: (-7.0, 11.6) speed=0.5 score=0
2025-12-28 16:46:03,835:INFO:BALL: (-7.0, 11.6) speed=0.6 score=0
2025-12-28 16:46:03,853:INFO:BALL: (-7.0, 11.7) speed=0.9 score=0
2025-12-28 16:46:03,872:INFO:BALL: (-7.0, 11.7) speed=1.1 score=0
2025-12-28 16:46:03,890:INFO:BALL: (-7.0, 11.7) speed=0.6 score=0
2025-12-28 16:46:03,909:INFO:BALL: (-7.0, 11.6) speed=0.5 score=0
2025-12-28 16:46:03,927:INFO:BALL: (-7.0, 11.6) speed=0.3 score=0
2025-12-28 16:46:03,945:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:46:03,964:INFO:BALL: (-7.0, 11.6) speed=0.1 score=0
2025-12-28 16:46:03,987:INFO:BALL: (-7.0, 11.6) speed=0.2 score=0
2025-12-28 16:46:04,005:INFO:BALL: (-7.0, 11.6) speed=0.3 score=0
2025-12-28 16:46:04,023:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:04,041:INFO:BALL: (-7.0, 11.7) speed=0.6 score=0
2025-12-28 16:46:04,060:INFO:BALL: (-7.0, 11.7) speed=0.7 score=0
2025-12-28 16:46:04,078:INFO:BALL: (-7.0, 11.7) speed=0.4 score=0
2025-12-28 16:46:04,096:INFO:BALL: (-7.0, 11.7) speed=0.2 score=0
2025-12-28 16:46:04,114:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:04,132:INFO:BALL: (-7.0, 11.7) speed=0.1 score=0
2025-12-28 16:46:04,151:INFO:BALL: (-7.0, 11.7) speed=0.2 score=0
2025-12-28 16:46:04,168:INFO:BALL: (-7.0, 11.7) speed=0.3 score=0
2025-12-28 16:46:04,188:INFO:BALL: (-7.0, 11.7) speed=2.3 score=0
2025-12-28 16:46:04,205:INFO:BALL: (-7.0, 11.6) speed=2.1 score=0
2025-12-28 16:46:04,223:INFO:BALL: (-7.0, 11.6) speed=1.9 score=0
2025-12-28 16:46:04,242:INFO:BALL: (-7.0, 11.6) speed=1.7 score=0
2025-12-28 16:46:04,260:INFO:BALL: (-7.0, 11.6) speed=1.5 score=0
2025-12-28 16:46:04,278:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:04,295:INFO:BALL: (-7.0, 11.5) speed=1.2 score=0
2025-12-28 16:46:04,313:INFO:BALL: (-7.0, 11.5) speed=0.8 score=0
2025-12-28 16:46:04,332:INFO:BALL: (-7.0, 11.5) speed=0.7 score=0
2025-12-28 16:46:04,351:INFO:BALL: (-7.0, 11.5) speed=0.5 score=0
2025-12-28 16:46:04,368:INFO:BALL: (-7.0, 11.5) speed=0.4 score=0
2025-12-28 16:46:04,387:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:04,406:INFO:BALL: (-7.0, 11.5) speed=0.0 score=0
2025-12-28 16:46:04,424:INFO:BALL: (-7.0, 11.5) speed=0.1 score=0
2025-12-28 16:46:04,442:INFO:BALL: (-7.0, 11.5) speed=0.2 score=0
2025-12-28 16:46:04,459:INFO:BALL: (-7.0, 11.5) speed=0.4 score=0
